trial,roc_auc_mean,roc_auc_std,value,kernel,nu,gamma
84,0.8579946489741684,0.11664435017023914,74.13502988039293,rbf,0.002229416541622381,0.04939741162210568
85,0.8580302682572265,0.1166448781483563,74.13853901088702,rbf,0.002434266040648541,0.04885768314248018
86,0.8575742662482614,0.11663976222717035,74.09345040210911,rbf,0.002324830648322892,0.05834419263185743
87,0.8139032142472488,0.11742209827297322,69.64811159742756,rbf,0.0025919522502671705,0.0026526411271434527
88,0.8580240654269314,0.11664478464082798,74.13792807861034,rbf,0.0018554206093889885,0.048916542906054565
89,0.27441186694090053,0.13118726278682855,14.322460415407198,sigmoid,0.001989180660112703,0.04204849106825259
90,0.8580440836519746,0.11664508878580465,74.13989948661698,rbf,0.002488443881013054,0.04866477740804319
91,0.8580895710741386,0.11664580543634033,74.14437656377983,rbf,0.0018911217098159013,0.04894819846262139
92,0.858073688069292,0.11664555117035019,74.14281368989417,rbf,0.002451980059731216,0.04849718608134454
93,0.8554895513754532,0.1166617815642665,73.88277698111867,rbf,0.0024290599789909863,0.09602820769943955
94,0.857311581126685,0.11759983055498818,73.97117505716967,rbf,0.0018426446545215256,0.04764406857328733
95,0.8465708918895269,0.13130040027646753,71.52704916130594,rbf,0.002073946182266494,0.03728200663303628
96,0.8576690943659542,0.11664053249747017,74.1028561868484,rbf,0.002450216585709345,0.055193338151636316
97,0.846541898822692,0.13119083530280182,71.53510635198901,rbf,0.0022197385401949354,0.04549316197402662
98,0.684629463271382,0.19034652407142982,49.42829391999521,linear,0.002881878968600919,0.0533761252182197
99,0.846816279615291,0.13132676515847377,71.54895144568172,rbf,0.001849552556890995,0.034384313470765725
100,0.8466458432212732,0.131201671519884,71.54441717013893,rbf,0.0016234936932577634,0.03952615071955939
101,0.8580204001181208,0.11664472969642914,74.13756704216917,rbf,0.002655031088547865,0.04910220703388738
102,0.8571178827220182,0.11779002504887495,73.93278576731433,rbf,0.002574044252392875,0.04807815079354025
103,0.8465455641315028,0.13119121462528185,71.5354349506221,rbf,0.0027174892141531974,0.04368072399678512
104,0.8580439896696973,0.11664508734184263,74.13989023278546,rbf,0.0024737132633164158,0.049130160772180326
105,0.8577306527575189,0.1166411150559605,74.10895377015584,rbf,0.0024755478916072384,0.05236477954896052
106,0.8574403415032541,0.1166389370281002,74.08014044751539,rbf,0.002168829470889755,0.06090087081665381
107,0.8017553929464335,0.17670790945190426,62.504748349452925,poly,0.002309401557198097,0.0456240848221102
108,0.8579746307491253,0.11664406299110243,74.13305677580229,rbf,0.0026369452494264907,0.049040567601832355
109,0.8576835676366428,0.11664066362315986,74.1042904013483,rbf,0.002111091689388467,0.0544911831867898
110,0.8466074984521764,0.13119765500428174,71.54098434478946,rbf,0.0019572014965675765,0.04272846772298531
111,0.8580082764043621,0.116644549598147,74.1363726806215,rbf,0.002897996961020592,0.049098332771691
112,0.8579732210149672,0.1166440430261665,74.13291779888007,rbf,0.0028441127358904287,0.04877213436225148
113,0.8578929601502402,0.11664296254692055,74.12499976033196,rbf,0.0030665644015726874,0.05188319123033388
114,0.8575905251822166,0.11663988334358495,74.09506418386316,rbf,0.0024768857148763884,0.05714831145305125
115,0.8465556202351631,0.1311922563766843,71.53633638584787,rbf,0.002928773000285241,0.04618473168617136
116,0.2652826339761108,0.10796734731020924,15.731528666590155,sigmoid,0.0023702670323783146,0.053810884986367415
117,0.8579131663398377,0.1166432241621579,74.12699421776799,rbf,0.00263747469294294,0.05004822171098729
