params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'contamination': 0.0005845217383466661, 'n_bins': 4458.76708984375, 'n_random_cuts': 406.82244873046875}","{'roc_auc': [0.23238031914893614, 0.040558510638297865, 0.29704301075268813], 'fit_time': [0.26632189750671387, 0.3414018154144287, 0.1721055507659912], 'score_time': [0.029920578002929688, 0.017791271209716797, 0.014957189559936523]}",0.18999394684664073,0.10891442548301783,0.25994308789571124,0.06926193382139288,0.020889679590861004,0.006489779107500955
"{'contamination': 0.000862839340697974, 'n_bins': 3540.919189453125, 'n_random_cuts': 40.01360321044922}","{'roc_auc': [0.22672872340425532, 0.11402925531914894, 0.18514784946236557], 'fit_time': [0.01894664764404297, 0.023504018783569336, 0.030912399291992188], 'score_time': [0.001995086669921875, 0.0009984970092773438, 0.0019931793212890625]}",0.17530194272858993,0.04653313469077086,0.024454355239868164,0.0049310010924238515,0.0016622543334960938,0.00046934795094558427
"{'contamination': 0.00023557772510685027, 'n_bins': 3081.304931640625, 'n_random_cuts': 653.8212280273438}","{'roc_auc': [0.24534574468085105, 0.0651595744680851, 0.29704301075268813], 'fit_time': [0.36672186851501465, 0.24681401252746582, 0.17530035972595215], 'score_time': [0.02094435691833496, 0.027270078659057617, 0.015833377838134766]}",0.20251610996720806,0.09939237131378832,0.26294541358947754,0.07897558729100146,0.021349271138509113,0.004677784237656314
"{'contamination': 0.0029501684475690126, 'n_bins': 4564.84423828125, 'n_random_cuts': 615.8187255859375}","{'roc_auc': [0.2360372340425532, 0.059175531914893616, 0.2926747311827957], 'fit_time': [0.1567997932434082, 0.5506148338317871, 0.5960428714752197], 'score_time': [0.03989362716674805, 0.08571743965148926, 0.05721855163574219]}",0.19596249904674753,0.09944833601230976,0.43448583285013836,0.19722758274877303,0.0609432061513265,0.018891977770198794
"{'contamination': 0.0039004606660455465, 'n_bins': 191.07302856445312, 'n_random_cuts': 719.4492797851562}","{'roc_auc': [0.3417553191489362, 0.14095744680851063, 0.3709677419354839], 'fit_time': [0.4569096565246582, 0.622107744216919, 0.4654884338378906], 'score_time': [0.07445001602172852, 0.0329136848449707, 0.09525561332702637]}",0.28456016929764355,0.1022403959335813,0.5148352781931559,0.07593389814025552,0.06753977139790852,0.025915794698551573
"{'contamination': 0.004077294375747442, 'n_bins': 2004.17724609375, 'n_random_cuts': 251.69573974609375}","{'roc_auc': [0.24102393617021273, 0.05718085106382979, 0.2876344086021505], 'fit_time': [0.13045787811279297, 0.2660815715789795, 0.35961437225341797], 'score_time': [0.008976221084594727, 0.008975028991699219, 0.11768436431884766]}",0.1952797319453977,0.09948738516561859,0.25205127398173016,0.09407731444475552,0.0452118714650472,0.051245791148726794
"{'contamination': 0.002055920660495758, 'n_bins': 3978.301513671875, 'n_random_cuts': 562.8673706054688}","{'roc_auc': [0.2300531914893617, 0.057845744680851074, 0.2748655913978495], 'fit_time': [0.45001745223999023, 0.38128662109375, 0.24038028717041016], 'score_time': [0.038825035095214844, 0.018947839736938477, 0.03091573715209961]}",0.18758817585602075,0.09354806832790043,0.3572281201680501,0.087258404923524,0.029562870661417644,0.008171022360919858
"{'contamination': 0.004408285021781921, 'n_bins': 2086.140380859375, 'n_random_cuts': 923.6001586914062}","{'roc_auc': [0.24069148936170212, 0.07180851063829788, 0.29435483870967744], 'fit_time': [0.6683228015899658, 0.6194274425506592, 0.647728443145752], 'score_time': [0.061688899993896484, 0.07338547706604004, 0.0718071460723877]}",0.20228494623655915,0.09482620576834629,0.6451595624287924,0.020043925014812704,0.06896050771077473,0.005182019636686289
"{'contamination': 0.0010326983174309134, 'n_bins': 4277.1611328125, 'n_random_cuts': 380.028564453125}","{'roc_auc': [0.2440159574468085, 0.03324468085106383, 0.28158602150537637], 'fit_time': [0.27430295944213867, 0.1488935947418213, 0.14449048042297363], 'score_time': [0.015957117080688477, 0.02393341064453125, 0.009644746780395508]}",0.1862822199344162,0.10929545188725127,0.18922901153564453,0.060183216449017134,0.01651175816853841,0.00584649175761631
"{'contamination': 0.003415816929191351, 'n_bins': 1251.749755859375, 'n_random_cuts': 409.7110290527344}","{'roc_auc': [0.2360372340425532, 0.09109042553191489, 0.293010752688172], 'fit_time': [0.2794928550720215, 0.4502685070037842, 0.3307023048400879], 'score_time': [0.025470733642578125, 0.08975028991699219, 0.022854089736938477]}",0.2067128040875467,0.08500155400093984,0.35348788897196454,0.07155635520973551,0.04602503776550293,0.030936870808316703
