params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time,roc_auc_adjusted
"{'n_estimators': 251.34202575683594, 'contamination': 0.00010000832116929814, 'max_samples': 0.36900004744529724, 'max_features': 0.9999023079872131}","{'roc_auc': [0.8164893617021276, 0.9308510638297873, 0.9260752688172043], 'fit_time': [0.9855506420135498, 0.7211406230926514, 0.5300543308258057], 'score_time': [0.014847517013549805, 0.013269662857055664, 0.005983591079711914]}",0.8911385647830397,0.05282095351254714,0.745581865310669,0.18675697776750835,0.011366923650105795,0.003860708752495164,0.8383176112704925
"{'n_estimators': 249.66522216796875, 'contamination': 0.0001, 'max_samples': 0.8482022881507874, 'max_features': 0.999984860420227}","{'roc_auc': [0.8597074468085106, 0.9361702127659576, 0.9254032258064516], 'fit_time': [0.6794905662536621, 0.5031745433807373, 0.5633513927459717], 'score_time': [0.006979227066040039, 0.01467442512512207, 0.01753377914428711]}",0.9070936284603066,0.03379417761192301,0.582005500793457,0.07317930850869836,0.013062477111816406,0.004457086095294955,0.8732994508483836
"{'n_estimators': 15.571606636047363, 'contamination': 0.00010006863158196211, 'max_samples': 0.6036065816879272, 'max_features': 0.9999876618385315}","{'roc_auc': [0.8942819148936171, 0.9461436170212766, 0.9368279569892473], 'fit_time': [0.04812216758728027, 0.05523943901062012, 0.06253314018249512], 'score_time': [0.001995086669921875, 0.001764535903930664, 0.002106904983520508]}",0.925751162968047,0.02257477295914763,0.0552982489267985,0.005883401892311907,0.0019555091857910156,0.0001425457344209114,0.9031763900088994
"{'n_estimators': 35.974918365478516, 'contamination': 0.004999999422580004, 'max_samples': 0.9027263522148132, 'max_features': 0.4063483476638794}","{'roc_auc': [0.836436170212766, 0.9242021276595744, 0.9334677419354838], 'fit_time': [0.10895538330078125, 0.0702505111694336, 0.09592962265014648], 'score_time': [0.001995563507080078, 0.0019943714141845703, 0.0009968280792236328]}",0.8980353466026081,0.04372113753405511,0.09171183904012044,0.016080196010657466,0.0016622543334960938,0.00047052766845863327,0.8543142090685529
"{'n_estimators': 199.72097778320312, 'contamination': 0.0004429487162269652, 'max_samples': 0.6706750392913818, 'max_features': 1.0}","{'roc_auc': [0.8603723404255319, 0.9188829787234043, 0.9401881720430108], 'fit_time': [0.41881489753723145, 0.43612241744995117, 0.682809591293335], 'score_time': [0.005986690521240234, 0.005984067916870117, 0.01967620849609375]}",0.9064811637306489,0.033744090895378324,0.5125823020935059,0.12057607571605014,0.010548988978068033,0.00645391890338398,0.8727370728352706
"{'n_estimators': 218.1169891357422, 'contamination': 0.004999999888241291, 'max_samples': 0.4739342927932739, 'max_features': 0.7279180288314819}","{'roc_auc': [0.8331117021276596, 0.930186170212766, 0.939516129032258], 'fit_time': [0.6304235458374023, 0.4451572895050049, 0.5730299949645996], 'score_time': [0.011330127716064453, 0.0076830387115478516, 0.008974552154541016]}",0.9009380004575611,0.04811144764499721,0.549536943435669,0.07743745448838542,0.00932923952738444,0.0015098933518756443,0.8528265528125639
"{'n_estimators': 98.0285415649414, 'contamination': 0.004999997094273567, 'max_samples': 0.7336057424545288, 'max_features': 0.30000001192092896}","{'roc_auc': [0.8743351063829787, 0.9328457446808511, 0.9469086021505376], 'fit_time': [0.22545123100280762, 0.16903209686279297, 0.2169022560119629], 'score_time': [0.002991914749145508, 0.0035550594329833984, 0.005389690399169922]}",0.9180298177381224,0.031425699041391544,0.2037951946258545,0.024827752857258373,0.003978888193766276,0.0010237366623673501,0.8866041186967308
"{'n_estimators': 200.14077758789062, 'contamination': 0.004974334966391325, 'max_samples': 0.7883507013320923, 'max_features': 0.30000001192092896}","{'roc_auc': [0.8723404255319149, 0.9308510638297873, 0.9254032258064516], 'fit_time': [0.44330430030822754, 0.5038235187530518, 0.47235846519470215], 'score_time': [0.010306119918823242, 0.013650178909301758, 0.0070493221282958984]}",0.9095315717227179,0.026391990590851455,0.47316209475199383,0.02471340143379839,0.010335206985473633,0.002694866985452467,0.8831395811318665
"{'n_estimators': 143.7198944091797, 'contamination': 0.004999999888241291, 'max_samples': 0.835205614566803, 'max_features': 0.9999998807907104}","{'roc_auc': [0.8756648936170213, 0.9414893617021277, 0.9166666666666666], 'fit_time': [0.2872495651245117, 0.3043055534362793, 0.2672607898712158], 'score_time': [0.003989458084106445, 0.003988981246948242, 0.009070158004760742]}",0.9112736406619385,0.027141956411769023,0.28627196947733563,0.015139251342892244,0.0056828657786051435,0.0023951773108859165,0.8841316842501695
"{'n_estimators': 247.4186248779297, 'contamination': 0.00010120548540726304, 'max_samples': 0.5319451093673706, 'max_features': 0.31595706939697266}","{'roc_auc': [0.8337765957446809, 0.9222074468085107, 0.9388440860215055], 'fit_time': [0.6584901809692383, 0.4940378665924072, 0.5494253635406494], 'score_time': [0.010577201843261719, 0.006981372833251953, 0.00698089599609375]}",0.8982760428582323,0.04611094193747082,0.567317803700765,0.06831908219102725,0.008179823557535807,0.0016952024540834842,0.8521651009207615
"{'n_estimators': 250.85958862304688, 'contamination': 0.004999999888241291, 'max_samples': 0.45285117626190186, 'max_features': 1.0}","{'roc_auc': [0.8238031914893618, 0.9335106382978724, 0.9341397849462365], 'fit_time': [0.7629032135009766, 0.5505130290985107, 0.511939525604248], 'score_time': [0.030989885330200195, 0.00797724723815918, 0.01661992073059082]}",0.8971512049111569,0.05186551366157905,0.6084519227345785,0.11034303997839438,0.01852901776631673,0.009491359811522526,0.8452856912495778
"{'n_estimators': 234.0760040283203, 'contamination': 0.004999999422580004, 'max_samples': 0.8292850852012634, 'max_features': 0.9999936819076538}","{'roc_auc': [0.8603723404255319, 0.930186170212766, 0.9166666666666667], 'fit_time': [0.7647724151611328, 0.6419386863708496, 0.7654039859771729], 'score_time': [0.01431584358215332, 0.016533374786376953, 0.020574569702148438]}",0.9024083924349883,0.030232063502618468,0.7240383625030518,0.05805381030379361,0.017141262690226238,0.002591017681531331,0.8721763289323698
