trial,roc_auc_mean,roc_auc_std,value,kernel,nu,gamma
70,0.8934787996644551,0.0489894423218798,84.44893573425752,rbf,0.003817569492379027,0.017742115756405934
71,0.8881286700221155,0.04480318745717724,84.33254825649382,rbf,0.004077075137949704,0.02905690941216613
72,0.8943581750934188,0.0453561806950522,84.90019943983665,rbf,0.004201231697178194,0.021237448657369463
73,0.8939149126820712,0.04428289474276336,84.96320179393079,rbf,0.004254411385660935,0.022187955370969445
74,0.8916866849691146,0.04452838021243186,84.71583047566827,rbf,0.004456073991080747,0.02559109864497829
75,0.8930093228094257,0.04752089774959358,84.54884250598322,rbf,0.00426565662667171,0.01592131770982004
76,0.8939125295508275,0.04453715091177899,84.93753786390485,rbf,0.003787912064077817,0.022489313243695082
77,0.8879523183100738,0.04384921765247841,84.41031006575955,rbf,0.003703870620604809,0.09121922554520168
78,0.8874637764050942,0.045089202364440896,84.23745740406532,rbf,0.0038412959766157776,0.03048225597025469
79,0.35847536795546403,0.016957791590723314,34.15175763647407,poly,0.0035124992166795663,0.01394741684858122
80,0.36474300312666824,0.006700629399160266,35.8042373727508,linear,0.00401939053685485,0.020835768175019847
81,0.8914698200259284,0.04538101322364019,84.60888068022882,rbf,0.004293891493751378,0.024475233425865273
82,0.8936885152139098,0.04452861552994312,84.91598996839667,rbf,0.004443118811109062,0.022750730274251053
83,0.8916795355753832,0.041532401662570766,85.01471339128123,rbf,0.004537249035336246,0.02727181611302152
84,0.8914555212384657,0.04153657898742505,84.99189422510408,rbf,0.004875644372002387,0.0272111396566395
85,0.8881191374971403,0.04370808974088901,84.44110477562513,rbf,0.004891935316793377,0.03530590609724879
86,0.8919059330435446,0.041803943003772145,85.01019900397725,rbf,0.004875361315681851,0.02685964814048613
87,0.8910146419583621,0.04234497972159618,84.86696622367658,rbf,0.004843720855603584,0.027780563947244964
88,0.6293682795698925,0.08804111381983859,54.13271657500539,sigmoid,0.004539526426876894,0.03224342409983406
89,0.8932595515900251,0.04958025738675534,84.36792942032699,rbf,0.004781736136800952,0.01857211301883313
90,0.8839033783268512,0.04182246734194917,84.2080910984902,rbf,0.0049929371131899065,0.042902667642180065
91,0.8899136353237246,0.046201627072244005,84.37120082514807,rbf,0.004646862424709169,0.026307800970314463
92,0.8881310531533594,0.045089325172648416,84.3041727980711,rbf,0.004511786785863451,0.029505586437575147
93,0.8896729390681003,0.04100980253615603,84.86631365319442,rbf,0.004219652415022451,0.033035220914827586
94,0.8854905437352246,0.041367860177546116,84.41226835576785,rbf,0.004843923744322309,0.07748146978623131
95,0.8916866849691146,0.04452838021243186,84.71583047566827,rbf,0.004375272757716978,0.025624407950533865
96,0.8867893502630978,0.04370265152335552,84.30866987397422,rbf,0.004704380445940934,0.037321340611145684
97,0.8932524021962939,0.048667263819507256,84.45851383767867,rbf,0.0012627496984655444,0.017436291863573095
98,0.4030852017082285,0.053422214937571225,34.96629867706573,linear,0.004128477812335778,0.030890582051185743
99,0.8925660603980782,0.05022699089891348,84.23390694991647,rbf,0.004586545117077288,0.013714203792534175
100,0.2615343552200107,0.13963066369486307,12.19036915251476,poly,0.004428571002450718,0.028198969241299353
101,0.8939149126820712,0.04428289474276336,84.96320179393079,rbf,0.003928871829924725,0.022271911477962803
102,0.8939125295508275,0.04453715091177899,84.93753786390485,rbf,0.003888901791219424,0.022443277998599805
103,0.89325001906505,0.04782915991516102,84.5420859149889,rbf,0.0037200987465827976,0.01990076636697757
104,0.8914650537634409,0.044803631119861714,84.66614226435792,rbf,0.004168489504176639,0.024838425016189693
105,0.8892320597879966,0.04289143471680017,84.63406250711965,rbf,0.0040683810254179735,0.03439223028513143
